Time (s),Volume (m^3),N2,Ar,He,Ne,toluene(1),tolyl(2),C7H8O(3),MHCHD(4),C7H6O(5),O2(6),C7H7O2(7),OH(8),C7H6O2(9),C7H6O2(10),H2O(14),S(514),S(513),S(512),S(656),S(637),S(872),S(871),S(870),HO2(15)
6.8719476735e-05,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998995821e-11,2.6512279823069566e-25,3.702436433053213e-27,3.4688476525467366e-28,0.0,0.2099999999789998,4.140768998930835e-23,9.99999958195608e-16,2.159727022597353e-26,0.0,4.170032966558801e-23,1.1983858529638417e-29,2.6209034196891583e-31,2.5179116169499916e-33,3.2087720348831705e-34,2.9190067733664337e-27,2.999593007308103e-27,9.86851740896848e-31,2.1188011568230232e-32,2.5299706656463243e-26
9.999999999999998e-05,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998993923e-11,2.6512285201603335e-25,5.550455487412119e-27,3.4763144040102142e-28,0.0,0.2099999999789998,6.035320012466458e-23,9.999999392121235e-16,5.465843044655113e-26,0.0,6.068196517443271e-23,1.2009683028683167e-29,2.626545462662621e-31,2.5233314836888854e-33,3.215686751404556e-34,4.4284793725678125e-27,4.553758604329916e-27,1.4971727899608976e-30,3.214472986443651e-32,6.02088859228395e-26
0.000137438953471,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.99999999899165e-11,2.6512291639049213e-25,7.762307853292436e-27,3.485251190593111e-28,0.0,0.2099999999789998,8.302865431809242e-23,9.99999916491219e-16,9.422858816767972e-26,0.0,8.340065701339798e-23,1.20405917897022e-29,2.633298296768858e-31,2.529818400066128e-33,3.2239628198039285e-34,6.235133114530076e-27,6.413904388343502e-27,2.1079645548339164e-30,4.5258579112140955e-32,1.0199089599960283e-25
0.000274877906943,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.99999999898331e-11,2.6512314657148295e-25,1.5885302197725162e-26,3.486646839230083e-28,0.0,0.2099999999789998,1.6611616383103384e-22,9.99999833082448e-16,3.9391150084237637e-25,0.0,1.668013047527159e-22,1.2045418779741345e-29,2.6343528798448007e-31,2.53083145502978e-33,3.2252552850602246e-34,1.2863341225451344e-26,1.323849067632813e-26,4.34882286838871e-30,9.337035628364486e-32,4.097968028669064e-25
0.000549755813887,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998966628e-11,2.6512360502905417e-25,3.2131570950222285e-26,3.4867069453273376e-28,0.0,0.2099999999789998,3.316758149989182e-22,9.99999666264934e-16,1.6087150807209432e-24,0.0,3.33602572406605e-22,1.2045626664877452e-29,2.634398297383808e-31,2.5308750840498265e-33,3.2253109479713117e-34,2.607161154169676e-26,2.6838105497892653e-26,8.814262381435627e-30,1.8924443684534913e-31,1.6408466502807341e-24
0.0009999999999999998,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998939304e-11,2.6512434989705035e-25,5.874261616155121e-26,3.486707084866624e-28,0.0,0.2099999999789998,6.00857972597998e-22,9.999993930214727e-16,5.599812751732099e-24,0.0,6.068194226706242e-22,1.2045627151175152e-29,2.6343984028869407e-31,2.5308751853393832e-33,3.225311078181991e-34,4.754688097014479e-26,4.8949660952724513e-26,1.6074601121339788e-29,3.4512568866582864e-31,5.658555358546186e-24
0.001099511627775,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998933264e-11,2.651245145255543e-25,6.462411004298216e-26,3.4867071157071812e-28,0.0,0.2099999999789998,6.603518106016014e-22,9.999993326300175e-16,6.481913260969225e-24,0.0,6.672049964190601e-22,1.204562725865522e-29,2.6343984262049286e-31,2.5308752077260992e-33,3.225311106960767e-34,5.229328099849567e-26,5.38366910217708e-26,1.767925954556746e-29,3.795780982397915e-31,6.546537359906103e-24
0.002199023255551,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998866537e-11,2.6512630427914338e-25,1.296091451401251e-25,3.486704803844917e-28,0.0,0.2099999999789998,1.308073744058202e-21,9.999986653606295e-16,2.5859481780768447e-23,0.0,1.3344093992915652e-21,1.204561927185526e-29,2.6343966794672047e-31,2.5308735296285262e-33,3.2253089684324894e-34,1.0396833847026487e-25,1.0704281741074575e-25,3.5149514011961123e-29,7.5466874254736535e-31,2.5989090837656503e-23
0.004398046511103,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998733084e-11,2.6512977020586954e-25,2.595790418856209e-25,3.486700150737254e-28,0.0,0.2099999999789998,2.5661096599789984e-21,9.999973308236345e-16,1.020268473325217e-22,0.0,2.6688164246514452e-21,1.2045603196630831e-29,2.6343931637892086e-31,2.530870152105141e-33,3.225304664165157e-34,2.0433405857865406e-25,2.103822513756729e-25,6.908106156668487e-29,1.4831873831394157e-30,1.0228642567889144e-22
0.008796093022207001,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998466177e-11,2.6513627323855367e-25,5.1951814157114855e-25,3.48669084438372e-28,0.0,0.2099999999789998,4.940948472512298e-21,9.999946617567643e-16,3.9561034762785666e-22,0.0,5.3376233555268415e-21,1.2045571045703871e-29,2.6343861323287817e-31,2.5308633969580486e-33,3.2252960555024797e-34,3.937979718250373e-25,4.054597492564946e-25,1.3313484183430035e-28,2.858437741234222e-30,3.9612986037034015e-22
